Input,Output,Time
0.478,150,0
0.478,150,0.001
0.478,150,0.002
0.478,150,0.003
0.478,150,0.004
0.478,150,0.005
0.478,150,0.006
0.478,150,0.007
0.478,150,0.008
0.478,150,0.009
0.478,150,0.01
0.478,150,0.011
0.478,150,0.012
0.478,150,0.013
0.478,150,0.014
0.478,150,0.015
0.478,150,0.016
0.478,150,0.017
0.478,150,0.018
0.478,150,0.019
0.478,150,0.02
0.478,150,0.021
0.478,150,0.022
0.478,150,0.023
0.478,150,0.024
0.478,150,0.025
0.478,150,0.026
0.478,150,0.027
0.478,150,0.028
0.478,150,0.029
0.478,150,0.03
0.478,150,0.031
0.478,150,0.032
0.478,150,0.033
0.478,150,0.034
0.478,150,0.035
0.478,150,0.036
0.478,150,0.037
0.478,150,0.038
0.478,150,0.039
0.478,150,0.04
0.478,150,0.041
0.478,150,0.042
0.478,150,0.043
0.478,150,0.044
0.478,150,0.045
0.478,150,0.046
0.478,150,0.047
0.478,150,0.048
0.478,150,0.049
0.478,150,0.05
0.478,150,0.051
0.478,150,0.052
0.478,150,0.053
0.478,150,0.054
0.478,150,0.055
0.478,150,0.056
0.478,150,0.057
0.478,150,0.058
0.478,150,0.059
0.478,150,0.06
0.478,150,0.061
0.478,150,0.062
0.478,150,0.063
0.478,150,0.064
0.478,150,0.065
0.478,150,0.066
0.478,150,0.067
0.478,150,0.068
0.478,150,0.069
0.478,150,0.07
0.478,150,0.071
0.478,150,0.072
0.478,150,0.073
0.478,150,0.074
0.478,150,0.075
0.478,150,0.076
0.478,150,0.077
0.478,150,0.078
0.478,150,0.079
0.478,150,0.08
0.478,150,0.081
0.478,150,0.082
0.478,150,0.083
0.478,150,0.084
0.478,150,0.085
0.478,150,0.086
0.478,150,0.087
0.478,150,0.088
0.478,150,0.089
0.478,150,0.09
0.478,150,0.091
0.478,150,0.092
0.478,150,0.093
0.478,150,0.094
0.478,150,0.095
0.478,150,0.096
0.478,150,0.097
0.478,150,0.098
0.478,150,0.099
0.478,150,0.1
0.478,150,0.101
0.478,150,0.102
0.478,150,0.103
0.478,150,0.104
0.478,150,0.105
0.478,150,0.106
0.478,150,0.107
0.478,150,0.108
0.478,150,0.109
0.478,150,0.11
0.478,150,0.111
0.478,150,0.112
0.478,150,0.113
0.478,150,0.114
0.478,150,0.115
0.478,150,0.116
0.478,150,0.117
0.478,150,0.118
0.478,150,0.119
0.478,150,0.12
0.478,150,0.121
0.478,150,0.122
0.478,150,0.123
0.478,150,0.124
0.478,150,0.125
0.478,150,0.126
0.478,150,0.127
0.478,150,0.128
0.478,150,0.129
0.478,150,0.13
0.478,150,0.131
0.478,150,0.132
0.478,150,0.133
0.478,150,0.134
0.478,150,0.135
0.478,150,0.136
0.478,150,0.137
0.478,150,0.138
0.478,150,0.139
0.478,150,0.14
0.478,150,0.141
0.478,150,0.142
0.478,150,0.143
0.478,150,0.144
0.478,150,0.145
0.478,150,0.146
0.478,150,0.147
0.478,150,0.148
0.478,150,0.149
0.478,150,0.15
0.478,150,0.151
0.478,150,0.152
0.478,150,0.153
0.478,150,0.154
0.478,150,0.155
0.478,150,0.156
0.478,150,0.157
0.478,150,0.158
0.478,150,0.159
0.478,150,0.16
0.478,150,0.161
0.478,150,0.162
0.478,150,0.163
0.478,150,0.164
0.478,150,0.165
0.478,150,0.166
0.478,150,0.167
0.478,150,0.168
0.478,150,0.169
0.478,150,0.17
0.478,150,0.171
0.478,150,0.172
0.478,150,0.173
0.478,150,0.174
0.478,150,0.175
0.478,150,0.176
0.478,150,0.177
0.478,150,0.178
0.478,150,0.179
0.478,150,0.18
0.478,150,0.181
0.478,150,0.182
0.478,150,0.183
0.478,150,0.184
0.478,150,0.185
0.478,150,0.186
0.478,150,0.187
0.478,150,0.188
0.478,150,0.189
0.478,150,0.19
0.478,150,0.191
0.478,150,0.192
0.478,150,0.193
0.478,150,0.194
0.478,150,0.195
0.478,150,0.196
0.478,150,0.197
0.478,150,0.198
0.478,150,0.199
0.478,150,0.2
0.478,150,0.201
0.478,150,0.202
0.478,150,0.203
0.478,150,0.204
0.478,150,0.205
0.478,150,0.206
0.478,150,0.207
0.478,150,0.208
0.478,150,0.209
0.478,150,0.21
0.478,150,0.211
0.478,150,0.212
0.478,150,0.213
0.478,150,0.214
0.478,150,0.215
0.478,150,0.216
0.478,150,0.217
0.478,150,0.218
0.478,150,0.219
0.478,150,0.22
0.478,150,0.221
0.478,150,0.222
0.478,150,0.223
0.478,150,0.224
0.478,150,0.225
0.478,150,0.226
0.478,150,0.227
0.478,150,0.228
0.478,150,0.229
0.478,150,0.23
0.478,150,0.231
0.478,150,0.232
0.478,150,0.233
0.478,150,0.234
0.478,150,0.235
0.478,150,0.236
0.478,150,0.237
0.478,150,0.238
0.478,150,0.239
0.478,150,0.24
0.478,150,0.241
0.478,150,0.242
0.478,150,0.243
0.478,150,0.244
0.478,150,0.245
0.478,150,0.246
0.478,150,0.247
0.478,150,0.248
0.478,150,0.249
0.478,150,0.25
0.478,150,0.251
0.478,150,0.252
0.478,150,0.253
